title,tradeAmount,averageStar,wishedCount,quantity,AverageDiscountPrice,MinDiscountPrice,MaxDiscountPrice
Khaki Quilted Cotton Jacket Straight Short Coat Zipper Stand Collar Pocket Blogger Streetwear Female Outwears,215 sold,4.6,1523,2092,27.36,27.36,27.36
Nlzgmsj Women 2023 Winter Parka Women Casual Half Sleeves High Neck Coats Female Thick Pocket Warm Jacket Female Tops,700+ sold,4.7,4690,65,12.826666666666666,12.7,13.04
2023 Winter Fashion Parka Jacket Women Casual Half Sleeves High Neck Coats Female Loose Lady Thick Pocket Warm Jackets New,7 sold,0.0,21,2994,15.626666666666667,14.32,16.28
TRAF Women Fashion Patchwork Cropped Thick Warm Padded Jacket Coat Vintage Long Sleeve Front Zipper Female Outerwear Chic Tops,184 sold,4.5,1241,29,15.4825,15.24,15.84
Winter Coat Women Women's Coat 2023 New Hooded Pocket Style Large Loose Coat Winter Down Coat,13 sold,4.0,67,29957,21.990000000000002,19.96,22.06
Cotton Hoodie Drawstring Sweatshirt Keep Warm Plush Women Winter Hoodie Women Winter Hoodie Female Clothes Hooded 2024,5 sold,0.0,1,535,5.064399999999999,4.21,6.1
Autumn and winter new 100% pure wool double-sided woolen cowhide button doll neck mid length solid color fashionable trend coat,0 sold,0.0,1,3000,118.2,118.2,118.2
2024 Fashion S-SCARFACE MOVIE Baseball Jacket Sweatshirt Winter Popular Soft Hoodie Sweatshirt Printed Cotton Pop Jackets,0 sold,0.0,0,600,15.99,15.99,15.99
2024 LOS ANGELES Women Sweatshirt Hoodie Long Sleeve Loose Casual Sweatshirt Couple Style Unisex Streetwear Top Hooded,3 sold,0.0,2,506,6.846500000000001,6.12,8.69
2024 Spring New Women's Suit Jacket 2024 Suit Jacket Women's Seven-Minute Sleeve Summer New Women Clothing,4 sold,0.0,38,18395,9.57,9.57,9.57
ZVRI new 2024 High Quality Winter Women Vintage Long Sleeve Warm Faux Fleece Jacket Coat Female Casual Solid Pocket Outwear Tops,0 sold,0.0,0,796,35.65,35.65,35.65
2024 Autumn And Winter New Style Casual Jacket Half Zipper Cover Long Sleeve Sweater Woman,34 sold,5.0,65,708,8.225333333333333,7.31,17.29
